home: s
party: t
tangyuan: 10
people: 8
12 1 1 1 4 4 4 5 5 6 6 8 9 
4 1 3 5 5 
1 6 
12 1 2 2 3 4 6 6 7 8 9 9 10 
9 1 1 1 6 6 7 7 8 10 
1 8 
6 6 6 8 10 10 10 
supermarket: 15
a1 5
a2 1
a3 5
a4 5
a5 1
a6 5
a7 2
a8 1
a9 5
a10 3
a11 5
a12 4
a13 5
a14 3
a15 5
a5 s 4886
a6 s 4995
a7 s 4675
a11 s 4327
a15 s 643
a2 a1 100
a9 a1 465
a12 a1 616
a14 a1 357
a1 a2 472
a3 a2 115
a10 a2 717
a5 a3 388
a7 a3 168
a9 a3 899
a10 a3 79
t a3 3047
a2 a4 220
a3 a4 810
a7 a4 42
a13 a4 798
t a4 862
a3 a5 199
a7 a5 400
a11 a5 920
a15 a5 967
a3 a6 90
a4 a6 468
a5 a6 269
a8 a7 275
a10 a7 174
a1 a8 1172
a2 a8 697
a14 a8 1527
a3 a9 93
a5 a9 597
a7 a9 800
a1 a10 3863
a5 a10 3879
a9 a10 3985
a11 a10 231
a12 a10 3581
a1 a11 3632
a12 a11 3350
a13 a11 774
a14 a11 3092
a2 a12 564
a4 a12 706
a11 a12 685
a14 a12 964
t a12 819
a3 a13 3073
a6 a13 2983
a9 a13 255
a11 a13 484
a2 a14 296
a3 a14 902
a6 a14 989
a8 a14 445
a9 a14 849
a12 a14 258
a15 a14 890
a2 a15 4327
a4 a15 4107
a10 a15 364
a4 t 803
a13 t 964
a15 t 560
