home: s
party: t
tangyuan: 20
people: 3
4 2 13 15 19 
10 7 9 10 10 12 13 13 13 17 17 
supermarket: 12
a1 5
a2 8
a3 4
a4 9
a5 4
a6 9
a7 3
a8 5
a9 9
a10 5
a11 10
a12 1
a3 s 481
a7 s 168
a11 a1 718
a1 a2 372
a3 a2 75
a9 a2 409
a10 a2 932
a11 a2 903
a12 a2 929
s a3 454
a4 a3 265
a6 a3 532
a7 a3 476
a5 a4 971
a12 a4 588
a2 a5 292
a1 a6 776
a4 a6 284
a7 a6 607
a8 a6 240
a11 a6 553
s a7 54
a9 a7 948
a10 a7 924
a11 a7 106
a1 a8 400
a3 a8 770
a4 a8 497
a7 a8 829
t a8 720
s a9 675
a2 a9 205
a8 a9 405
a11 a9 660
a12 a9 622
s a10 659
a3 a10 584
a5 a10 674
a9 a10 244
a12 a10 332
a1 a11 6
a2 a11 131
a3 a11 892
a9 a11 438
a12 a11 1060
a7 a12 59
t a12 279
