home: s
party: t
tangyuan: 20
people: 5
11 1 2 5 6 6 6 7 7 10 14 18 
1 5 
11 1 1 2 5 7 11 11 14 16 18 20 
11 8 9 10 11 11 13 15 17 19 19 19 
supermarket: 20
a1 9
a2 1
a3 6
a4 7
a5 10
a6 8
a7 10
a8 6
a9 6
a10 4
a11 5
a12 6
a13 1
a14 3
a15 8
a16 3
a17 3
a18 4
a19 7
a20 9
a6 s 4106
a17 s 89
a3 a2 109
a8 a2 188
a11 a2 271
a13 a2 819
a5 a3 520
a14 a3 725
a18 a3 920
a7 a4 996
a18 a4 175
a4 a5 575
a7 a5 1572
a8 a5 1772
a5 a6 363
a13 a6 194
a16 a7 636
a1 a8 907
a16 a8 436
a20 a8 697
a20 a9 118
a6 a10 403
a12 a10 872
a20 a10 818
t a10 1249
a8 a11 993
t a11 166
a8 a12 874
a15 a12 23
a16 a12 102
a9 a13 844
a10 a13 3611
a20 a13 963
a3 a14 5
a5 a14 790
a18 a14 645
a19 a14 868
a14 a15 900
t a15 353
a10 a16 331
a15 a16 1227
a10 a17 4709
a11 a17 4714
a13 a17 21
a5 a20 110
a8 a20 1882
a11 a20 3731
a17 a20 521
a4 t 44
a7 t 70
