home: s
party: t
tangyuan: 5
people: 4
6 2 3 4 4 5 5 
9 1 2 2 2 2 2 4 5 5 
1 3 
supermarket: 15
a1 2
a2 2
a3 2
a4 2
a5 2
a6 1
a7 1
a8 2
a9 2
a10 1
a11 1
a12 2
a13 1
a14 1
a15 1
a3 s 3002
a4 s 2837
a5 s 1979
a11 s 2448
a13 s 213
s a1 420
a3 a2 1216
a4 a2 1051
a9 a2 1095
a15 a2 113
a2 a3 780
a7 a3 776
a11 a3 495
a13 a3 4
a14 a3 800
t a3 60
a5 a4 927
a12 a4 914
a13 a4 318
t a4 225
s a5 270
a1 a5 211
a2 a5 845
a8 a5 609
a12 a5 111
a1 a6 78
a3 a6 748
a15 a6 180
a5 a7 264
a13 a7 474
t a7 290
a5 a8 614
a9 a8 731
a13 a8 291
a3 a9 121
a7 a9 939
a10 a9 511
a11 a9 900
a15 a9 393
a5 a10 624
a6 a10 718
a9 a10 91
s a11 452
a9 a11 433
a15 a11 55
a2 a12 625
a9 a12 1720
a8 a13 1937
a12 a13 948
t a13 2849
a2 a14 215
a8 a14 948
a15 a14 177
a1 a15 224
a10 a15 890
a13 t 629
a15 t 205
